iterations,fitness,time
0,3247.03258741,0.018341461
10,3384.1813617,0.034218255
20,3433.69878252,0.046683801
30,3446.87530718,0.059595461
40,3414.24064364,0.075319815
50,3429.54236932,0.085351288
60,3429.54236932,0.095603122
70,3440.26458267,0.106577543
80,3407.54409335,0.116517853
90,3429.54236932,0.179912757
100,3425.26891357,0.188998125
110,3421.16484439,0.198103557
120,3403.51090524,0.210613679
130,3419.63205654,0.225478355
140,3423.52175251,0.236573899
150,3429.54236932,0.251151121
160,3407.54409335,0.260707799
170,3446.69665536,0.274461685
180,3428.51964279,0.28507056
190,3420.59656981,0.300806582
200,3453.45844045,0.324422814
210,3435.24980758,0.337446072
220,3421.16484439,0.349714162
230,3419.63205654,0.363201234
240,3426.5833235,0.375220265
250,3401.40891737,0.38592301
260,3425.45077906,0.395752763
270,3401.37686008,0.404761486
280,3407.54409335,0.415852791
290,3419.63205654,0.429532104
300,3407.54409335,0.438910677
310,3416.46703091,0.451594602
320,3419.46262064,0.46339057
330,3429.54236932,0.476796326
340,3403.51090524,0.489125382
350,3396.82187999,0.497984823
360,3418.24709825,0.510905711
370,3448.2473024,0.523487365
380,3403.51090524,0.532503111
390,3425.65267335,0.545955757
400,3390.83533497,0.560885839
410,3427.60327084,0.574884154
420,3419.46262064,0.588742724
430,3427.24150397,0.607554433
440,3421.16484439,0.620862443
450,3407.54409335,0.636588409
460,3439.71820077,0.647568806
470,3436.50722579,0.656482435
480,3429.54236932,0.670344846
490,3412.17737417,0.680247418
500,3419.63205654,0.693431065
510,3421.16484439,0.703773474
520,3436.50722579,0.719669436
530,3429.54236932,0.729552527
540,3412.55151345,0.743364367
550,3384.26503954,0.753872135
560,3419.63205654,0.766895944
570,3429.54236932,0.778580675
580,3418.24220211,0.790025909
590,3441.35491678,0.801124106
600,3421.16484439,0.816994253
610,3429.54236932,0.830465288
620,3402.4599113,0.84291789
630,3399.67524762,0.852459092
640,3410.55003458,0.861463738
650,3409.48857633,0.872745265
660,3416.36714594,0.883706011
670,3409.71799661,0.893196776
680,3425.09857619,0.904012753
690,3445.16386751,0.921580104
700,3407.54409335,0.932480389
710,3422.7301067,0.941848543
720,3407.54409335,0.956419714
730,3407.54409335,0.968475422
740,3429.54236932,0.981235165
750,3412.81541788,0.994248338
760,3404.34986262,1.007459444
770,3424.64412424,1.019587902
780,3419.63205654,1.030695277
790,3410.38928105,1.041220899
800,3419.63205654,1.058442895
810,3401.37686008,1.067472769
820,3418.24220211,1.077697275
830,3409.57573319,1.086828067
840,3434.63739242,1.098394608
850,3435.24980758,1.114953233
860,3424.46390168,1.129523165
870,3421.87393326,1.139212324
880,3436.80045463,1.162528549
890,3429.54236932,1.179455057
900,3402.4599113,1.203959871
910,3419.63205654,1.225458657
920,3439.88439273,1.243641779
930,3425.09857619,1.260332466
940,3422.73335064,1.269904927
950,3396.82187999,1.281110997
960,3447.4473289,1.301160151
970,3404.65302302,1.312239211
980,3405.35305738,1.321085495
990,3409.71799661,1.330734968
1000,3430.95184788,1.343594644
1010,3402.4599113,1.352717571
1020,3407.54409335,1.362699995
1030,3429.54236932,1.372742139
1040,3419.63205654,1.386256241
1050,3429.54236932,1.397427264
1060,3450.02475225,1.412330154
1070,3421.16484439,1.424614985
1080,3407.54409335,1.444124847
1090,3401.37686008,1.45446016
