iterations,fitness,time
0,2531.94766719,0.000768000999997
10,2465.52559516,0.00120227799999
20,2529.77326288,0.001379214
30,2650.50635034,0.001558126
40,2565.77230765,0.00172234799999
50,2631.29737903,0.00188469999999
60,2712.01377749,0.00204836299999
70,2842.4544549,0.00231115799998
80,2821.17565544,0.00248060799998
90,2914.6087484,0.00264821999998
100,2901.11078897,0.00281366999998
110,2834.89477601,0.00300069599998
120,2871.78917233,0.00316570699998
130,2896.32327893,0.00333118699998
140,2823.87199539,0.00352898199998
150,2860.92624009,0.00369396699998
160,2861.89075336,0.00385973899998
170,2903.35557321,0.00402471299998
180,2902.71911575,0.00418881599997
190,2888.94100891,0.00435554799998
200,2896.31009495,0.00452206399998
210,2920.93589242,0.00468697499998
220,2908.4050418,0.00485265499998
230,3005.92652153,0.00501876499998
240,2933.96847798,0.00518449499998
250,2933.96847798,0.00534952399998
260,2946.5302342,0.00551549399998
270,2982.77467581,0.00568127299998
280,3064.17672532,0.00584587199998
290,3030.68644893,0.00601169599998
300,3100.39843853,0.00617697599998
310,3129.93268304,0.00634226699999
320,3088.85545944,0.00650990599999
330,3087.07046263,0.00680972799999
340,3115.49541467,0.00697445899999
350,3107.78908352,0.016886562
360,3095.4443772,0.017237915
370,3061.45331544,0.017720486
380,3030.001469,0.018011118
390,3034.11119873,0.018239289
400,3083.27670827,0.0184181
410,3081.48912143,0.018680494
420,3104.64577035,0.018860041
430,3074.46982321,0.019121001
440,3074.214033,0.019300057
450,3062.91940673,0.01956049
460,3060.48439821,0.019739932
470,3067.51995586,0.020001799
480,3048.69234326,0.020180199
490,3099.57387221,0.020440443
500,3099.57387221,0.020619271
510,3110.84754166,0.02088041
520,3152.99952905,0.021061562
530,3092.63634664,0.021320596
540,3145.00157933,0.021499516
550,3118.21539595,0.021770549
560,3114.60771844,0.02194937
570,3133.26990575,0.022210169
580,3196.94704498,0.022388695
590,3172.64797132,0.022650616
600,3241.41859305,0.022830287
610,3241.41859305,0.023089753
620,3261.64098893,0.023267261
630,3229.75026806,0.023437323
640,3229.75026806,0.023601252
650,3280.3194559,0.023764847
660,3299.32554599,0.023927954
670,3305.07503881,0.02409144
680,3239.9678723,0.024252802
690,3217.34548199,0.024416592
700,3217.34548199,0.024656277
710,3221.20077122,0.0249224229999
720,3219.99763507,0.0251022779999
730,3262.19129935,0.0253637689999
740,3212.39535201,0.0255437919999
750,3267.0950654,0.0258033609999
760,3255.05383179,0.0259965759999
770,3293.01867666,0.0263221199999
780,3280.22247128,0.0265198459999
790,3311.15222912,0.0267329409999
800,3304.79915912,0.0268967089999
810,3335.69702636,0.0270608649999
820,3319.79559757,0.0272239309999
830,3403.19148468,0.0273878219999
840,3318.98048023,0.0275492889999
850,3341.00702814,0.0277112709999
860,3333.00458447,0.0278940059999
870,3293.98132204,0.0281494639999
880,3312.05650665,0.0283276049999
890,3300.31462208,0.0285041659999
900,3276.96723756,0.0286679039999
910,3338.94620772,0.0288303689999
920,3314.99021112,0.0289924739999
930,3282.03633374,0.0291551849999
940,3346.89006595,0.0293166079999
950,3279.66583752,0.029479076
960,3294.50121675,0.029641075
970,3306.4353739,0.029803347
980,3299.47051742,0.029964319
990,3261.34623399,0.030126982
1000,3323.83382302,0.030289187
1010,3277.65304179,0.030451745
1020,3337.55388049,0.030613426
1030,3352.96185402,0.030775166
1040,3324.48551996,0.030936658
1050,3319.46364029,0.031098292
1060,3284.86890846,0.031259469
1070,3331.31929145,0.03142176
1080,3347.09446131,0.031584237
1090,3367.77720007,0.031861438
1100,3384.38607347,0.032138162
1110,3381.40172531,0.032312379
1120,3407.18617833,0.032571578
1130,3351.83477147,0.032744502
1140,3345.10673608,0.033001342
1150,3316.18617965,0.033175268
1160,3348.16824298,0.033432227
1170,3254.7050442,0.033606101
1180,3254.59027887,0.033863808
1190,3296.26096658,0.034028789
1200,3356.34405687,0.034193323
1210,3408.49275753,0.03435828
1220,3357.39246841,0.034522469
1230,3378.7443974,0.034684945
1240,3360.24059019,0.0348482229999
1250,3364.68438332,0.0350124769999
1260,3414.29236139,0.0351751299999
1270,3388.50790838,0.0353394009999
1280,3388.50790838,0.0355032429999
1290,3371.65151243,0.0356684479999
1300,3339.21582417,0.0358308019999
1310,3311.39038687,0.0359947309999
1320,3311.39038687,0.0361594349999
1330,3277.61906337,0.0363227549999
1340,3226.59422883,0.0364872149999
1350,3286.76982714,0.0366499849999
1360,3227.37199799,0.0368132339999
1370,3248.38840435,0.0369754439999
1380,3248.52170645,0.0371388169999
1390,3240.86500759,0.0373029279999
1400,3216.61448379,0.0374666939999
1410,3233.91994668,0.0376288379999
1420,3238.53364037,0.0377926129999
1430,3237.49176282,0.0379557879999
1440,3242.88181477,0.0381190339999
1450,3278.96375975,0.0382810789999
1460,3295.85678838,0.0384434449999
1470,3330.5226641,0.0386060729999
1480,3331.4892848,0.0387687359999
1490,3290.3781602,0.0389318099999
1500,3308.82181158,0.0390959969999
1510,3318.15460161,0.0393383019999
1520,3318.15460161,0.0395018709999
1530,3342.74828622,0.0396651629999
1540,3284.29290978,0.0398278099999
1550,3267.56307456,0.0399901309999
1560,3263.41018401,0.0430987899999
1570,3290.45316595,0.0433690769999
1580,3282.97329914,0.0436507959999
1590,3346.05405939,0.0489087879999
1600,3346.05405939,0.0491926659999
1610,3301.56445923,0.0493731919999
1620,3334.01282578,0.0498591939999
1630,3352.07467619,0.0500914239999
1640,3367.35563448,0.0507848919999
1650,3333.24874141,0.0509634589999
1660,3333.24874141,0.0512279149999
1670,3325.92192613,0.0514036919999
1680,3367.41296084,0.0515770419999
1690,3347.92150522,0.0517597469999
1700,3348.64862812,0.0520110779999
1710,3390.96423415,0.0521775529999
1720,3390.96423415,0.0523450559999
1730,3390.96423415,0.0525119239999
1740,3390.96423415,0.0526755039999
1750,3347.04561966,0.0528398939999
1760,3380.38197065,0.0530041199999
1770,3361.66866501,0.0531779819999
1780,3332.2737695,0.0533569219999
1790,3350.74356491,0.0535208709999
1800,3355.68625887,0.0536964189999
1810,3355.68625887,0.0538641139999
1820,3394.21185345,0.0540446749999
1830,3371.769528,0.0542104949999
1840,3377.46955731,0.0543879499999
1850,3342.38224264,0.0545530579999
1860,3344.01135616,0.0547316899999
1870,3359.69845953,0.0549004069999
1880,3311.84883348,0.0550810659999
1890,3358.75634964,0.0552454409999
1900,3332.16300633,0.0554235089999
1910,3332.16300633,0.0555874929999
1920,3346.09271928,0.0557634019999
1930,3306.44973577,0.0560447429999
1940,3285.43485424,0.0562785179999
