iterations,fitness,time
0,3181.63693342,0.024330178
10,3290.29096234,0.042531552
20,3402.62806649,0.055339465
30,3450.67875434,0.06797431
40,3451.15953768,0.080783973
50,3433.26954633,0.094572391
60,3468.99564042,0.106397838
70,3426.96225162,0.118194419
80,3458.33502548,0.131199864
90,3478.46043193,0.145856633
100,3461.65181532,0.155614276
110,3450.8710853,0.16476284
120,3441.35371917,0.174254616
130,3433.100722,0.183563581
140,3446.78931267,0.19307195
150,3452.40772271,0.202600013
160,3453.52520137,0.213390433
170,3446.17193529,0.223844588
180,3428.10400568,0.235998153
190,3453.93604413,0.250972226
200,3467.46158217,0.263595233
210,3424.64496079,0.272865309
220,3450.60518622,0.292282082
230,3440.96836092,0.302108386
240,3464.04868241,0.32053963
250,3429.88484257,0.331318059
260,3458.73814928,0.344579178
270,3442.89987101,0.354386411
280,3432.08077466,0.370489725
290,3446.71574456,0.384138697
300,3475.06651107,0.394159187
310,3442.89987101,0.407760619
320,3446.29379187,0.418021711
330,3433.26954633,0.430828112
340,3447.138556,0.450744561
350,3464.87915619,0.468817028
360,3450.13925144,0.479767802
370,3446.71574456,0.493376195
380,3458.33502548,0.506080663
390,3441.40179333,0.515985862
400,3478.46043193,0.529515095
410,3458.21011512,0.539588988
420,3452.45826863,0.552287233
430,3446.71574456,0.562283129
440,3460.6454575,0.573317059
450,3447.53621926,0.582579776
460,3449.04170657,0.593730052
470,3446.03788663,0.608399557
480,3438.47897237,0.620991795
490,3442.89987101,0.631156228
500,3433.26954633,0.649000003
510,3464.04868241,0.659865636
520,3430.74613395,0.679759008
530,3454.52357271,0.69568999
540,3451.40855419,0.709849657
550,3446.71574456,0.732022633
560,3463.50123543,0.755841781
570,3449.39583854,0.770770018
580,3462.22175042,0.782418765
590,3486.09140616,0.797764033
600,3461.55073355,0.808740126
610,3464.34429771,0.819194061
620,3430.63150582,0.828307373
630,3441.35371917,0.844387424
640,3476.59555534,0.855294748
650,3457.01600523,0.8674329
660,3450.8710853,0.881001973
670,3431.69272265,0.893087401
680,3446.71574456,0.902906711
690,3450.23130769,0.917722294
700,3450.67875434,0.930091391
710,3444.15339963,0.940568607
720,3446.71574456,0.95665546
730,3453.68060103,0.968402338
740,3446.71574456,0.977375584
750,3446.71574456,0.986851793
760,3441.35371917,1.001012969
770,3442.89987101,1.012661465
780,3446.71574456,1.023843051
790,3468.30810888,1.035305717
800,3471.12899525,1.049984516
810,3433.26954633,1.064256691
820,3442.89987101,1.075634875
830,3446.71574456,1.090057123
840,3464.33111239,1.101679806
850,3446.71574456,1.11460721
860,3430.63150582,1.125268168
870,3453.68060103,1.135274584
880,3453.11699621,1.150112388
890,3434.93106131,1.165000772
900,3461.45322739,1.174579115
910,3443.40025205,1.18584711
920,3441.35371917,1.198442298
930,3435.55132676,1.209390628
940,3461.66420373,1.230863966
950,3430.94550416,1.240953763
960,3465.42942396,1.252023263
970,3454.71241847,1.268931103
980,3458.8422996,1.278944623
990,3446.71574456,1.288311846
1000,3442.89987101,1.297418882
1010,3442.89987101,1.307076182
1020,3435.55132676,1.32137805
1030,3457.01600523,1.336108111
1040,3446.29379187,1.345542632
1050,3435.55132676,1.358392603
1060,3440.29634609,1.371121615
1070,3463.75344761,1.383753862
1080,3442.89987101,1.399068627
1090,3454.87928982,1.412884528
1100,3455.60333081,1.422556354
1110,3452.88426462,1.432869265
1120,3456.99575347,1.445220968
1130,3446.71574456,1.464348552
1140,3435.1864859,1.481790545
1150,3433.100722,1.49207404
1160,3468.16017126,1.504326703
1170,3449.86472748,1.515005334
1180,3519.39374227,1.530010719
1190,3442.89987101,1.539082134
1200,3429.89478165,1.552526446
1210,3446.71574456,1.567445254
1220,3460.22350482,1.5774195
1230,3446.29379187,1.588834737
1240,3439.70901844,1.598566091
1250,3446.71574456,1.60912264
1260,3454.31565948,1.619143677
1270,3453.62208436,1.638724121
1280,3446.71574456,1.649411057
1290,3442.89987101,1.658695173
1300,3446.71574456,1.668513816
1310,3464.34429771,1.68009535
1320,3446.71574456,1.689303542
1330,3434.22197263,1.698431414
1340,3446.71574456,1.709254791
1350,3446.29379187,1.722471389
1360,3433.26954633,1.737635164
1370,3446.71574456,1.747899487
1380,3463.18033462,1.761235391
1390,3478.46043193,1.772646282
1400,3439.39825961,1.786952646
1410,3446.71574456,1.79767914
1420,3438.56125058,1.808766613
1430,3472.65803952,1.821747475
1440,3465.4091722,1.836906539
1450,3482.89765409,1.846475223
1460,3446.29379187,1.858642524
1470,3461.34790864,1.872339235
1480,3450.63413104,1.882444056
1490,3445.24316084,1.898174858
1500,3446.71574456,1.911184988
1510,3427.24892953,1.923455945
1520,3446.71574456,1.93284926
1530,3441.35371917,1.943270885
1540,3441.35371917,1.961596912
1550,3465.73910209,1.970659271
1560,3435.55132676,1.980531412
1570,3450.8710853,1.996466366
1580,3451.08193527,2.013756906
1590,3447.72280896,2.033294292
1600,3440.84565676,2.04697954
1610,3457.85247267,2.058188984
1620,3451.30142439,2.067575321
1630,3441.35371917,2.077170719
1640,3457.57004269,2.086326563
1650,3446.71574456,2.095872097
1660,3433.26954633,2.105577085
1670,3460.22350482,2.125966609
1680,3448.93717061,2.1363612
1690,3461.55073355,2.146359857
1700,3447.475641,2.156380845
1710,3429.57330083,2.168855678
1720,3433.26954633,2.18401895
1730,3446.71574456,2.193603201
1740,3442.89987101,2.204126389
1750,3453.61317718,2.214254353
1760,3465.05812459,2.230488811
1770,3437.49032284,2.242011426
1780,3446.83738683,2.252803695
1790,3451.19582097,2.261926986
1800,3473.0799922,2.272425652
1810,3441.35371917,2.285410672
1820,3443.86438428,2.301038319
1830,3451.15953768,2.312008155
1840,3442.89987101,2.323692041
1850,3447.52977141,2.336084765
1860,3450.67875434,2.353830579
1870,3441.35371917,2.363187097
1880,3446.71574456,2.373019611
1890,3456.94959389,2.382667814
1900,3447.05868998,2.397810928
1910,3433.100722,2.409520449
1920,3452.61665596,2.423843536
1930,3446.29379187,2.438007498
1940,3453.38449103,2.447919767
1950,3442.89987101,2.459187084
1960,3442.89987101,2.472814336
1970,3463.15018782,2.486170748
