iterations,fitness,time
0,3241.05350129,0.016898943
10,3431.80593299,0.089675628
20,3447.37973284,0.099972298
30,3420.13068234,0.109028845
40,3391.91155584,0.119897274
50,3401.7883023,0.131192696
60,3400.35690744,0.140709218
70,3398.96639817,0.149558872
80,3410.27302007,0.167187634
90,3420.55263502,0.177831906
100,3420.55263502,0.186534776
110,3440.19378356,0.196191381
120,3398.96639817,0.205609048
130,3420.13068234,0.219473091
140,3418.05468616,0.235029606
150,3420.55263502,0.24670846
160,3439.31696775,0.260344288
170,3426.72115509,0.273527005
180,3415.47233613,0.289183886
190,3411.43197175,0.302794705
200,3410.27302007,0.318923555
210,3426.72115509,0.328094458
220,3451.11644399,0.336748212
230,3410.27302007,0.350662187
240,3420.55263502,0.364335492
250,3410.27302007,0.379189386
260,3420.55263502,0.389604496
270,3420.55263502,0.402050522
280,3401.57732596,0.416647339
290,3406.23964161,0.425369279
300,3439.31696775,0.434237502
310,3439.31696775,0.443786886
320,3424.13880506,0.46034705
330,3410.27302007,0.472814614
340,3401.7883023,0.484916033
350,3401.7883023,0.500073543
360,3396.35534896,0.518005552
370,3420.55263502,0.52773208
380,3419.36177779,0.538871556
390,3401.7883023,0.547580161
400,3401.57732596,0.557599509
410,3432.17191595,0.574138722
420,3443.01891335,0.586459296
430,3420.13068234,0.601847935
440,3439.31696775,0.613352753
450,3401.57732596,0.622327652
460,3439.31696775,0.632184919
470,3420.13068234,0.642225013
480,3409.38821723,0.660986734
490,3401.7883023,0.670669893
500,3400.35690744,0.679964702
510,3415.47233613,0.692295937
520,3420.13068234,0.703442712
530,3429.10161977,0.720186418
540,3431.83101528,0.736297395
550,3405.46676763,0.747338763
560,3405.67774397,0.75699218
570,3414.16246174,0.766381456
580,3419.36177779,0.778773184
590,3424.02012401,0.789539222
600,3414.16246174,0.807063019
610,3406.19156745,0.817739484
620,3406.64225724,0.827408356
630,3433.74161789,0.836129575
640,3431.53808442,0.849849533
650,3424.44207669,0.86489919
660,3411.79399224,0.877492797
670,3443.29828021,0.887044883
680,3407.35019912,0.89671069
690,3421.08165528,0.918748993
700,3394.78844289,0.933655051
710,3404.2463491,0.950347173
720,3404.2463491,0.967686361
730,3414.16246174,0.990526109
740,3404.2463491,0.999231895
750,3414.16246174,1.015703182
760,3408.31471239,1.024375643
770,3424.02012401,1.033118354
780,3405.67774397,1.045097828
790,3405.46676763,1.063870694
800,3398.95464486,1.082046741
810,3444.45691188,1.112424475
820,3424.02012401,1.151914617
830,3419.36177779,1.167875249
840,3425.9035555,1.177587917
850,3405.67774397,1.186968526
860,3390.85092707,1.203085515
870,3443.29828021,1.211823732
880,3394.78844289,1.222809073
890,3424.02012401,1.236480474
900,3405.67774397,1.248022859
910,3424.44207669,1.257915669
920,3424.44207669,1.270825998
930,3424.44207669,1.286915725
940,3400.53793649,1.295760056
950,3428.02824672,1.311979377
960,3450.38437166,1.321303278
970,3419.36177779,1.334217879
980,3424.23110035,1.345049675
990,3407.35019912,1.359317518
1000,3424.44207669,1.372612017
1010,3424.44207669,1.38131814
1020,3394.88462554,1.390073307
1030,3414.16246174,1.400317707
1040,3431.54750539,1.415347211
1050,3386.91341125,1.428418982
1060,3424.02012401,1.439654014
1070,3414.16246174,1.457407061
1080,3407.20669394,1.468232027
1090,3424.02012401,1.476971455
1100,3405.67774397,1.488673837
1110,3426.62835532,1.50288176
1120,3405.46676763,1.514212081
1130,3430.93064237,1.523065125
1140,3424.02012401,1.534844626
1150,3440.31286959,1.545244017
1160,3414.16246174,1.553999846
1170,3419.36177779,1.567099131
1180,3394.88462554,1.582007327
1190,3407.35019912,1.595416201
1200,3413.27765889,1.604294283
1210,3419.36177779,1.617326355
1220,3386.91341125,1.629565508
1230,3398.95464486,1.638957775
1240,3419.36177779,1.65020686
1250,3443.29828021,1.664242639
1260,3419.36177779,1.67414575
1270,3437.91513417,1.682772968
1280,3405.46676763,1.697028103
1290,3413.27765889,1.709921471
1300,3406.19156745,1.722300012
1310,3426.17404041,1.731762841
1320,3424.02012401,1.742258468
1330,3424.44207669,1.761477305
1340,3424.44207669,1.774818373
1350,3407.35019912,1.783668583
1360,3430.97714254,1.792834433
1370,3406.19156745,1.811559167
1380,3419.36177779,1.821131689
1390,3414.16246174,1.831250965
1400,3414.16246174,1.839857189
1410,3424.98463728,1.850782026
1420,3387.87792452,1.867483219
1430,3395.57988018,1.878397342
1440,3414.16246174,1.891929028
1450,3449.47133531,1.904975889
1460,3413.27765889,1.91800531
1470,3424.44207669,1.927525439
1480,3414.86901829,1.940598654
1490,3424.44207669,1.955473446
1500,3405.67774397,1.964828841
1510,3406.19156745,1.97772315
1520,3404.2463491,1.986472487
1530,3419.36177779,1.998226667
1540,3424.02012401,2.013524752
1550,3395.57988018,2.022895358
1560,3405.67774397,2.031973628
1570,3424.44207669,2.042512741
1580,3413.27765889,2.054011831
1590,3407.35019912,2.068375989
1600,3405.76690748,2.078748381
1610,3432.71581812,2.092530173
1620,3413.27765889,2.106759385
1630,3414.16246174,2.116227996
1640,3421.94412782,2.126265606
1650,3391.35720437,2.13798136
1660,3394.88462554,2.163655296
1670,3386.91341125,2.179756712
1680,3423.80557092,2.208141408
1690,3398.95464486,2.227274637
1700,3413.36972916,2.245329884
1710,3411.34863235,2.260773459
1720,3419.36177779,2.269595593
1730,3416.47086239,2.279352787
1740,3410.08100912,2.290512804
1750,3414.16246174,2.301816393
1760,3424.02012401,2.311394637
1770,3413.27765889,2.323397508
1780,3438.03352605,2.339018099
1790,3424.02012401,2.348024063
1800,3424.02012401,2.359002439
1810,3424.02012401,2.370535511
1820,3432.5558151,2.379935172
1830,3414.16246174,2.388708021
1840,3405.46676763,2.397581516
1850,3404.2463491,2.409714743
1860,3413.27765889,2.420708995
1870,3386.91341125,2.431826764
1880,3412.6347625,2.446154994
1890,3413.27765889,2.45867819
1900,3405.46676763,2.468101484
1910,3407.35019912,2.479511032
1920,3404.2463491,2.49397199
1930,3424.02012401,2.505737414
1940,3424.02012401,2.517185312
1950,3409.56718563,2.525943503
1960,3471.80784311,2.539653442
1970,3421.24887319,2.554563422
1980,3424.02012401,2.563986151
1990,3403.46075745,2.572645627
2000,3390.80285291,2.581574322
2010,3407.35019912,2.597355923
2020,3413.27765889,2.610163118
2030,3450.80632434,2.619082088
2040,3414.16246174,2.627932884
2050,3424.44207669,2.643367107
2060,3398.95464486,2.656159653
2070,3399.23715179,2.66612997
2080,3419.36177779,2.677901049
2090,3414.16246174,2.687337324
2100,3426.17404041,2.703984889
2110,3428.46391713,2.714012984
2120,3419.36177779,2.724492598
2130,3429.27669646,2.736612094
2140,3405.67774397,2.75439695
2150,3419.36177779,2.763068445
2160,3414.16246174,2.772672818
2170,3424.02012401,2.783499891
2180,3419.36177779,2.793482768
2190,3432.33657391,2.805247904
2200,3424.44207669,2.818451358
2210,3413.37081592,2.835771236
2220,3413.27765889,2.850278828
2230,3406.19156745,2.877638895
2240,3425.3188925,2.888474598
2250,3405.67774397,2.897972727
2260,3395.8009975,2.914838384
2270,3414.16246174,2.925951697
2280,3424.02012401,2.937794932
2290,3404.2463491,2.947810967
2300,3386.91341125,2.963011978
2310,3424.44207669,2.973451922
2320,3424.44207669,2.987465067
2330,3431.25433931,3.004082999
2340,3431.25433931,3.013270163
2350,3450.80632434,3.026547838
2360,3449.88046446,3.042083458
2370,3442.99543307,3.050656409
2380,3431.25433931,3.05935301
2390,3443.7202329,3.068642739
2400,3424.44207669,3.077250752
2410,3450.80632434,3.090703494
2420,3431.25433931,3.104309393
2430,3424.44207669,3.116652852
2440,3424.44207669,3.128979508
2450,3424.44207669,3.141593805
2460,3424.44207669,3.153419575
