iterations,fitness,time
1260,3280.18500302,2.098399452
1270,3280.18500302,2.128817745
1280,3313.89779492,2.137449525
1290,3313.89779492,2.146436158
1300,3309.99691597,2.155076742
1310,3280.18500302,2.163747783
1320,3280.18500302,2.176694489
1330,3299.46315923,2.187594032
1340,3280.18500302,2.202685611
1350,3280.18500302,2.211279744
1360,3280.18500302,2.224802203
1370,3280.18500302,2.234745714
1380,3303.97629917,2.243370294
1390,3303.34165195,2.254600508
1400,3280.18500302,2.266865256
1410,3309.99691597,2.2806943
1420,3280.18500302,2.292383392
1430,3280.18500302,2.301500407
1440,3280.18500302,2.315131635
1450,3280.18500302,2.327337801
1460,3297.04139897,2.338325948
1470,3313.89779492,2.349778665
1480,3280.18500302,2.365779145
1490,3280.18500302,2.374469532
1500,3297.44206241,2.386434766
1510,3280.18500302,2.39703111
1520,3326.49830087,2.418734409
1530,3280.18500302,2.427540379
1540,3280.18500302,2.437463619
1550,3280.18500302,2.446094716
1560,3280.18500302,2.463057292
1570,3280.18500302,2.472305678
1580,3280.18500302,2.486325065
1590,3280.18500302,2.497181002
1600,3280.18500302,2.508891695
1610,3280.18500302,2.518185951
1620,3280.18500302,2.526862317
1630,3309.99691597,2.536515194
1640,3280.18500302,2.548547822
1650,3309.99691597,2.564727785
1660,3303.34165195,2.580641583
1670,3280.18500302,2.589922138
1680,3307.74522029,2.601812102
1690,3320.59871134,2.61516574
1700,3280.18500302,2.630611354
1710,3297.44206241,2.640043731
1720,3280.18500302,2.65015246
1730,3280.18500302,2.660941747
1740,3280.18500302,2.674467998
1750,3280.18500302,2.683095539
1760,3280.18500302,2.691743151
1770,3280.18500302,2.707926823
1780,3280.18500302,2.730165588
1790,3309.99691597,2.743599664
1800,3309.99691597,2.758659575
1810,3294.05998348,2.791376886
1820,3280.18500302,2.807470068
1830,3280.18500302,2.822158071
1840,3297.04139897,2.841013765
1850,3326.49830087,2.86067547
1860,3287.01777471,2.873215387
1870,3309.99691597,2.882642927
1880,3280.18500302,2.89563544
1890,3280.18500302,2.912669756
1900,3280.18500302,2.924735845
1910,3280.18500302,2.933482905
1920,3280.18500302,2.942154733
1930,3280.18500302,2.953425956
