iterations,fitness,time
0,2684.7947361,0.000182111000001
10,2844.49036246,0.000495612999998
20,2968.43200953,0.000683245999994
30,2906.62112251,0.000954622999998
40,2829.11452035,0.001142791
50,2900.00451137,0.001413161
60,2928.48509828,0.001599986
70,3061.17525083,0.001869688
80,3158.1332234,0.002057688
90,3174.67413339,0.00232613
100,3149.49111525,0.002512314
110,3158.18158394,0.002792439
120,3139.41725122,0.002977656
130,3052.36414696,0.003245062
140,3183.50627393,0.003430722
150,3087.42806207,0.004298907
160,3098.78387646,0.004832508
170,3071.93512522,0.005027012
180,3192.29470217,0.005221701
190,3044.50900864,0.005399888
200,3086.56552504,0.005589195
210,3135.12958236,0.00576552
220,3103.70530576,0.005954571
230,3145.51983809,0.006134257
240,3084.2216078,0.00632535699999
250,3092.59062012,0.006502845
260,3149.84278846,0.00669139
270,3103.8582116,0.006867725
280,3071.34947031,0.007055603
290,3041.68692218,0.007351598
300,3129.40286021,0.007528724
310,3211.73317036,0.007706031
320,3134.01961869,0.007881548
330,3121.18753984,0.008056695
340,3157.75309527,0.00823296
350,3095.63050481,0.008408256
360,3119.53460389,0.00858453799999
370,3052.69718219,0.008763663
380,2996.95935301,0.00894051
390,2977.56573081,0.00911545299999
400,2970.92972654,0.009291492
410,3086.61934699,0.009468772
420,3080.59233815,0.009644106
430,3110.45704265,0.009819826
440,3133.69380036,0.009995433
450,3129.17018886,0.010171068
460,3100.74523682,0.010346629
470,3167.72806727,0.010520898
480,3140.11064478,0.0106956
490,3209.0107917,0.010897009
500,3148.43642413,0.01107962
510,3189.31085345,0.011261493
520,3153.04266544,0.0114551
530,3199.64574444,0.011633899
540,3238.97338663,0.011812291
550,3159.30202503,0.012000542
560,3068.81455968,0.012179642
570,2947.29801353,0.012357044
580,3021.77095904,0.012549069
590,3052.00863475,0.01272786
600,3155.857198,0.012903984
610,3086.6843067,0.013079444
620,2975.27437633,0.013267737
630,3023.58384436,0.013449963
640,3033.17134777,0.01363182
650,3056.32799669,0.01382411
660,2985.29166817,0.014003228
670,3045.18019123,0.014180986
680,3032.63921152,0.014369649
690,3051.53997045,0.014547772
700,3076.72866834,0.014800337
710,3029.17651176,0.014977937
720,3008.90218258,0.015153604
730,3131.12752335,0.015343536
740,3017.89009805,0.015524206
750,3090.88565871,0.01570359
760,3056.51599136,0.015895461
770,3043.00744764,0.016073889
780,3058.78942861,0.016250091
790,3050.19971637,0.016440249
800,2946.21449218,0.016616181
810,3039.94113262,0.01679356
820,3102.2959972,0.016982645
830,3075.98574028,0.01715907
840,3096.1553587,0.017337208
850,3157.72951609,0.017526814
860,3068.29377724,0.017707435
870,3098.5903009,0.017887687
880,3125.59177433,0.018079018
890,3210.08744048,0.018255228
900,3181.46553002,0.018430987
910,3117.84663803,0.018619758
920,3167.40499046,0.01879818
930,3191.58757878,0.018974933
940,3138.267577,0.019165625
950,3165.17130797,0.019342956
960,3147.62250656,0.019520774
970,3103.83061882,0.01970982
980,3161.90583315,0.019895934
990,3083.97844753,0.020076636
1000,3138.11675523,0.020270157
1010,3077.71051114,0.020448558
1020,3055.47268357,0.020626441
1030,3093.53891316,0.020816152
1040,3092.99748188,0.020992112
1050,3175.54963532,0.021165945
1060,3153.88384691,0.021339506
1070,3147.28365573,0.021514668
1080,3123.93375757,0.021688756
1090,3094.45348542,0.021863827
1100,3047.3013627,0.022054412
1110,3098.84002972,0.022231051
1120,3088.52773595,0.022543137
1130,3116.31615737,0.022735201
1140,3178.55250436,0.022916272
1150,3105.65114574,0.023093846
1160,3111.43310284,0.023271447
1170,3193.73892193,0.023461606
1180,3136.99510782,0.023649879
1190,3169.31306071,0.023858712
1200,3150.61963306,0.024034762
1210,3124.94779631,0.024209698
1220,3061.68831453,0.024385
1230,3081.75877248,0.024560651
