iterations,fitness,time
0,3267.03642127,0.017685912
10,3369.9436116,0.029840126
20,3403.16681663,0.047613071
30,3364.92928998,0.056428645
40,3370.1951556,0.067350735
50,3367.54033919,0.076547772
60,3367.54033919,0.093434791
70,3373.04233731,0.106764202
80,3379.03885324,0.116284378
90,3407.89090877,0.12533415
100,3363.2662356,0.141272936
110,3370.36224332,0.150302399
120,3377.38236362,0.161450324
130,3370.15126698,0.176770554
140,3377.38236362,0.189640002
150,3368.45430655,0.199043022
160,3360.26437953,0.209948339
170,3407.89090877,0.222753453
180,3373.04233731,0.236602839
190,3403.16681663,0.249636928
200,3377.43630914,0.259701226
210,3391.55747439,0.274076762
220,3411.73909052,0.284892755
230,3365.66463658,0.296751688
240,3368.93084846,0.312268728
250,3364.92928998,0.321772676
260,3403.16681663,0.33047307
270,3407.89090877,0.347426702
280,3420.70480063,0.359210015
290,3360.26437953,0.373301826
300,3370.15126698,0.384804995
310,3389.12657604,0.396509226
320,3412.05440288,0.407989326
330,3407.89090877,0.421484402
340,3370.36224332,0.43342927
350,3389.12657604,0.447355923
360,3402.17130294,0.457852007
370,3367.54033919,0.473761407
380,3403.16681663,0.486222311
390,3389.12657604,0.495127188
400,3367.54033919,0.504861326
410,3383.64214578,0.522385479
420,3359.37679393,0.532936901
430,3375.77722215,0.550194597
440,3384.45506356,0.558894077
450,3375.77722215,0.567684183
460,3373.04233731,0.578332979
470,3389.12657604,0.594610446
480,3407.89090877,0.611529554
490,3403.16681663,0.62089455
500,3370.3833331,0.634668764
510,3407.89090877,0.644641186
520,3403.16681663,0.657707488
530,3407.89090877,0.667256499
540,3385.78724441,0.680337834
550,3413.88902998,0.692731411
560,3370.36224332,0.707645813
570,3360.48549686,0.716539175
580,3390.11482739,0.725213201
590,3385.3107025,0.734036988
600,3356.04170373,0.74828036
610,3370.36224332,0.762260587
620,3377.38236362,0.775108137
630,3384.48918508,0.787017918
640,3457.78735964,0.797676649
650,3377.38236362,0.812685033
660,3377.38236362,0.824062713
670,3370.15126698,0.835710623
680,3368.04326286,0.84808901
690,3407.89090877,0.860991057
700,3393.51889225,0.87315874
710,3374.75455953,0.886391946
720,3385.3107025,0.89548003
730,3370.15126698,0.906188539
740,3380.46010712,0.917270117
750,3382.62959117,0.929475301
760,3381.09785794,0.942338283
770,3389.12657604,0.953647745
780,3368.45430655,0.964077442
790,3420.49975449,0.975811665
800,3377.38236362,0.989652649
810,3365.66463658,0.998901823
