iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.127352269299,0.126834444668,0.461,0.464949928469,0.041819779
10,0.0862787449447,0.0874053321374,0.775333333333,0.772532188841,0.278359369
20,0.086086661747,0.0870599675998,0.776,0.77539341917,0.522167129
30,0.0861777160721,0.0878130342477,0.772333333333,0.766809728183,0.793911698
40,0.0865018103406,0.0880366471843,0.772333333333,0.766809728183,1.036137497
50,0.0862924692293,0.0876316610851,0.776,0.77539341917,1.268733164
60,0.0862285037081,0.0874529911438,0.776,0.77539341917,1.500274051
70,0.0861769166936,0.0872258783098,0.776,0.77539341917,1.731381876
80,0.0861408480011,0.0871335225861,0.776,0.77539341917,1.961946887
90,0.0860802241954,0.0870109636685,0.776,0.77539341917,2.193486923
100,0.086069350265,0.0868800944829,0.776,0.77539341917,2.425460352
110,0.0859906378651,0.086699131125,0.776,0.77539341917,2.655659796
120,0.0859558837572,0.0865857994689,0.776,0.77539341917,2.887029962
130,0.0859458239511,0.0865977876314,0.776,0.77539341917,3.118291531
140,0.0859416863213,0.0865692250564,0.776,0.77539341917,3.34901497
150,0.0859374343785,0.0865523230202,0.776,0.77539341917,3.580890306
160,0.0859307370004,0.0865268721462,0.776,0.77539341917,3.812101843
170,0.0859199304903,0.0865129275805,0.776,0.77539341917,4.043153703
