iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.140624936492,0.141440818127,0.354,0.344778254649,0.020010984
10,0.140439525686,0.141132792661,0.355666666667,0.344778254649,0.221922011
20,0.140388712046,0.141132792661,0.356666666667,0.344778254649,0.394974815
30,0.124942020186,0.126021808966,0.464333333333,0.447782546495,0.564019948
40,0.110162290283,0.110207607919,0.700666666667,0.696709585122,0.735161681
50,0.110162290283,0.110207607919,0.700666666667,0.696709585122,0.936762377
60,0.111396804974,0.11193637179,0.695666666667,0.690987124464,1.110349054
70,0.11012134261,0.110252781162,0.700666666667,0.695278969957,1.282747712
80,0.107003070377,0.106416579133,0.718666666667,0.709585121602,1.454173449
90,0.105158048143,0.104396134203,0.742333333333,0.739628040057,1.626226995
100,0.102522430996,0.101688615229,0.748666666667,0.741058655222,1.798266588
110,0.100896009196,0.100866965916,0.761,0.758226037196,1.979294024
120,0.100473968749,0.100598006805,0.762666666667,0.758226037196,2.150701351
130,0.0989894127303,0.0994044312496,0.769333333333,0.769670958512,2.340646771
140,0.0989889281882,0.0994525934047,0.769333333333,0.768240343348,2.513791581
150,0.0946196326676,0.0948088940134,0.771,0.769670958512,2.691994151
160,0.0944584620797,0.0947288757529,0.771,0.769670958512,2.869926768
170,0.09305532541,0.092844661136,0.771333333333,0.771101573677,3.061563408
180,0.0926830110496,0.0922515157812,0.772,0.772532188841,3.233296037
190,0.0926227460555,0.0922859196152,0.772,0.772532188841,3.4109651
200,0.0923372411635,0.0919278705728,0.772,0.772532188841,3.626511413
210,0.0923113366831,0.0918635909037,0.772,0.773962804006,3.848297106
220,0.101411432555,0.10097500383,0.765333333333,0.766809728183,4.024502487
230,0.0921835171037,0.091772230654,0.771666666667,0.773962804006,4.200932984
240,0.0920018984619,0.0914230276911,0.772333333333,0.773962804006,4.375691308
250,0.0919912908927,0.0914303360484,0.772333333333,0.773962804006,4.572668507
260,0.0926525952467,0.091806744927,0.772333333333,0.773962804006,4.807529863
270,0.0918361055262,0.0911639646663,0.772333333333,0.772532188841,4.980911277
280,0.0889789646849,0.0882245757232,0.774333333333,0.773962804006,5.163924946
290,0.0888758042758,0.08872882315,0.774666666667,0.773962804006,5.427302518
300,0.0887184428044,0.0885914539645,0.775333333333,0.773962804006,5.61311976
310,0.088736287936,0.0886471824857,0.775333333333,0.773962804006,5.793495915
320,0.0883298918093,0.0883876833534,0.775333333333,0.773962804006,5.976156139
330,0.0883268718476,0.0883878850254,0.775333333333,0.773962804006,6.14788341
340,0.0883249382254,0.0883896766852,0.775333333333,0.773962804006,6.319110132
350,0.0883249382254,0.0883896766852,0.775333333333,0.773962804006,6.50973008
360,0.0882421151504,0.088255421967,0.775333333333,0.773962804006,6.700438968
370,0.0881955499769,0.0882232994403,0.775333333333,0.773962804006,6.895909041
380,0.0878841103614,0.0871288902443,0.775333333333,0.773962804006,7.069322821
390,0.0878015352979,0.0872351005227,0.775666666667,0.773962804006,7.240689547
400,0.08779493523,0.0872351005227,0.775666666667,0.773962804006,7.410991805
410,0.0877671601481,0.087237228498,0.775666666667,0.773962804006,7.629823796
