iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.0860106875335,0.0857372905711,0.775666666667,0.77539341917,0.318496874
10,0.0897244069404,0.0910884993108,0.775666666667,0.77539341917,3.351172156
20,0.0880830403674,0.0878447331119,0.775666666667,0.77539341917,6.302659175
30,0.0897756322468,0.0897613122643,0.775666666667,0.77539341917,9.332818269
40,0.0900499015871,0.0906123447896,0.775666666667,0.77539341917,12.306320197
50,0.088801242962,0.0884787547977,0.775666666667,0.77539341917,15.343946982
60,0.0972076524717,0.0971191829332,0.775666666667,0.77539341917,18.405793664
70,0.090644778747,0.0904957617438,0.775666666667,0.77539341917,21.454972047
80,0.0932582208505,0.0932187988825,0.775666666667,0.77539341917,24.50655413
90,0.0892336673496,0.0884239532782,0.775666666667,0.77539341917,27.373695544
100,0.0869267844854,0.0870964922787,0.775666666667,0.77539341917,30.361182383
110,0.08764021949,0.0881331335936,0.775666666667,0.77539341917,33.388845894
120,0.0920376568993,0.092368425516,0.775666666667,0.77539341917,36.392273981
130,0.0888086472246,0.0891959824779,0.775666666667,0.77539341917,39.399573023
140,0.092154181303,0.0930044581617,0.775666666667,0.77539341917,42.347727206
150,0.0898983513438,0.0905040454861,0.775666666667,0.77539341917,45.319670625
160,0.0909519284226,0.0916609271951,0.775666666667,0.77539341917,48.228353853
170,0.0909675770973,0.0916801318142,0.775666666667,0.77539341917,51.244647779
180,0.0909547856107,0.0916822303052,0.775666666667,0.77539341917,54.262207603
190,0.0882985414799,0.089192805608,0.775333333333,0.773962804006,57.170807502
200,0.0871508819151,0.0870439236988,0.775666666667,0.77539341917,60.287800465
210,0.0877536137134,0.0882644851995,0.773333333333,0.773962804006,63.213363542
220,0.0880789218818,0.0890784905509,0.775,0.773962804006,66.257341251
230,0.0876623448162,0.0883811435844,0.775666666667,0.77539341917,69.386475601
240,0.0881756263077,0.0887931089177,0.775666666667,0.77539341917,72.397987153
250,0.0874488254575,0.0880954381382,0.775666666667,0.77539341917,75.353237204
260,0.0880149338403,0.0897434559967,0.775333333333,0.771101573677,78.45828565
270,0.0876134567783,0.0884832123246,0.775666666667,0.77539341917,81.395746013
280,0.0877138491023,0.0885164747088,0.775666666667,0.77539341917,84.405933152
290,0.0875311966994,0.0882448970222,0.775666666667,0.77539341917,87.399803646
300,0.0876064824137,0.0883041657946,0.775666666667,0.773962804006,90.280945145
310,0.0869630512055,0.0872556744684,0.775666666667,0.77539341917,93.325165572
320,0.0871876261048,0.0878197016513,0.775666666667,0.77539341917,96.267047155
330,0.0875816543238,0.0881799275495,0.775666666667,0.77539341917,99.191892152
340,0.0874101295673,0.088004381449,0.775666666667,0.77539341917,102.101054059
350,0.088554498208,0.0899303644362,0.775666666667,0.77539341917,105.145491392
360,0.0877857081357,0.088885230848,0.775666666667,0.77539341917,108.259771965
370,0.0879046373542,0.088970081709,0.775333333333,0.77539341917,111.436545036
380,0.0902596160769,0.0906906645112,0.775,0.77539341917,114.483667048
390,0.0878607029282,0.089078374279,0.775666666667,0.77539341917,117.468976794
400,0.0874272344224,0.0877769985978,0.775666666667,0.77539341917,120.47955973
410,0.0874891373282,0.0877738449199,0.775666666667,0.77539341917,123.583617505
420,0.0875296597803,0.0879777248135,0.775666666667,0.77539341917,126.531830719
430,0.0881483629056,0.0886199149892,0.775666666667,0.77539341917,129.561469698
440,0.0876354948005,0.0881637509697,0.775666666667,0.77539341917,132.602467362
450,0.0876045728182,0.0877540568248,0.775666666667,0.77539341917,135.570273085
460,0.0873813246385,0.0875718446647,0.775666666667,0.77539341917,138.464853662
470,0.0873610941287,0.0877071441467,0.775666666667,0.77539341917,141.486647993
480,0.0873926969309,0.0874795171541,0.775666666667,0.77539341917,144.455678325
490,0.0874680804093,0.0876964711748,0.775666666667,0.77539341917,147.4381883
500,0.0876256846787,0.0879167526746,0.775666666667,0.77539341917,150.48898451
510,0.0874453883343,0.0877394294752,0.775666666667,0.77539341917,153.623911476
520,0.0875609103013,0.088163079173,0.775666666667,0.77539341917,156.648135439
530,0.0874892642675,0.087874801785,0.775666666667,0.77539341917,159.728540161
540,0.087705066837,0.0883343033698,0.775666666667,0.77539341917,162.730602055
550,0.0873244682923,0.0873669728165,0.775666666667,0.77539341917,165.700411271
560,0.087815457691,0.0875613094832,0.775666666667,0.77539341917,168.596432004
570,0.0877070411674,0.0875691347692,0.775666666667,0.77539341917,171.613307348
580,0.0875928938949,0.0875113968598,0.775666666667,0.77539341917,174.586577349
590,0.0873936827682,0.0873232350534,0.775666666667,0.77539341917,177.509643697
600,0.0872375626918,0.0875034519473,0.775666666667,0.77539341917,180.526216377
610,0.0875558892783,0.0874430918294,0.775666666667,0.77539341917,183.505750814
620,0.0872187112945,0.0871746264237,0.775666666667,0.77539341917,186.522556996
630,0.0873497572194,0.0876172479334,0.775666666667,0.77539341917,189.453499768
640,0.0879228844875,0.0877714116672,0.775666666667,0.77539341917,192.517448
650,0.0873852317988,0.0871411272171,0.775666666667,0.77539341917,195.409260318
660,0.0867348470373,0.0866199348887,0.775666666667,0.77539341917,198.445417974
670,0.0872473421788,0.0870483395478,0.775666666667,0.77539341917,201.487425438
680,0.0878122714033,0.0872875578852,0.775666666667,0.77539341917,204.37725672
690,0.0876349088187,0.0870237698262,0.775666666667,0.77539341917,207.386085661
700,0.087565032682,0.0874576533807,0.775666666667,0.77539341917,210.42661933
710,0.0874722203335,0.0868982098683,0.775666666667,0.77539341917,213.507145927
720,0.0868824822733,0.0869004265358,0.775666666667,0.77539341917,216.57375147
730,0.0877103047899,0.0872404542105,0.775666666667,0.77539341917,219.68712165
740,0.0880948048247,0.0877081855281,0.775666666667,0.77539341917,222.797728699
750,0.0882395262445,0.0879251180105,0.775666666667,0.77539341917,225.789380842
760,0.0881197767531,0.0878424665651,0.775666666667,0.77539341917,228.895858683
770,0.0885353743204,0.0885883295999,0.775666666667,0.77539341917,231.891633237
780,0.0869140662523,0.0872135056837,0.775666666667,0.77539341917,234.832371978
790,0.0870635910233,0.0872373802385,0.775666666667,0.77539341917,237.79990153
800,0.0877455957656,0.0878843685235,0.775666666667,0.77539341917,240.820520448
810,0.0873048303443,0.0874596831608,0.775666666667,0.77539341917,243.864338895
820,0.0873048303443,0.0874596831608,0.775666666667,0.77539341917,246.725064493
830,0.087994680056,0.0881483110595,0.775666666667,0.77539341917,249.880652455
840,0.0884804327052,0.0886037824865,0.775666666667,0.77539341917,252.898949825
850,0.0881497301238,0.0883960552375,0.775666666667,0.77539341917,255.800139433
860,0.0880378046306,0.0879260130768,0.775666666667,0.77539341917,258.648295817
870,0.0875505097335,0.0877102360849,0.775666666667,0.77539341917,261.715121878
880,0.0871953774178,0.0873129036619,0.775666666667,0.77539341917,264.643513518
890,0.088050762201,0.0885507624886,0.775666666667,0.77539341917,267.646361527
900,0.0883160627705,0.0885714031165,0.775666666667,0.77539341917,270.729399656
910,0.088355951021,0.0885602100712,0.775666666667,0.77539341917,273.778219176
920,0.0884054005697,0.0895881356886,0.775666666667,0.77539341917,276.808501052
930,0.0879331616933,0.0886449650276,0.775333333333,0.77539341917,279.831083992
940,0.0873281222061,0.0873638329837,0.775333333333,0.77539341917,282.851954805
950,0.0878189308346,0.0882498072804,0.775666666667,0.77539341917,285.731477231
960,0.0879087540983,0.08821673428,0.775333333333,0.77539341917,288.696402622
970,0.0877968724055,0.088123500599,0.775666666667,0.77539341917,291.609218711
980,0.087814350276,0.0883712763468,0.775333333333,0.77539341917,294.533893258
990,0.0887203956339,0.0889723869688,0.775333333333,0.77539341917,297.499693902
1000,0.0875846444341,0.0880475313185,0.775333333333,0.77539341917,300.494900179
1010,0.088034920944,0.0885646517794,0.775333333333,0.77539341917,303.489278433
1020,0.0880398621755,0.0883189242339,0.775333333333,0.77539341917,306.550418473
1030,0.0890622452269,0.0890983046238,0.775333333333,0.77539341917,309.569141389
1040,0.0901399355775,0.0903182639787,0.775,0.77539341917,312.586835986
1050,0.0880255801823,0.0881973190365,0.775,0.77539341917,315.549732002
1060,0.0891961031878,0.0898042438764,0.775333333333,0.77539341917,318.597511133
1070,0.0879731535834,0.0880791559471,0.775,0.77539341917,321.637904901
1080,0.0879539058212,0.0881260009514,0.775333333333,0.77539341917,324.669981991
1090,0.0894723847118,0.0894116841059,0.775333333333,0.77539341917,327.606832902
1100,0.089176241619,0.0890679787063,0.775666666667,0.77539341917,330.750559634
1110,0.0899731299372,0.089732229038,0.775666666667,0.77539341917,333.651587786
1120,0.0881360270058,0.0884515005658,0.775333333333,0.77539341917,336.564708071
1130,0.0877569781898,0.0879137344408,0.775666666667,0.77539341917,339.558829197
1140,0.0879115603575,0.0878088960684,0.775666666667,0.77539341917,342.645278943
1150,0.0882225447905,0.0883059530022,0.775333333333,0.77539341917,345.631904596
1160,0.0890190851669,0.0890417756085,0.775666666667,0.77539341917,348.56807969
1170,0.087857992346,0.0873437083336,0.775666666667,0.77539341917,351.6582776
1180,0.0896702014487,0.0896200437878,0.775666666667,0.77539341917,354.732729425
1190,0.0893666307034,0.0895471772676,0.775666666667,0.77539341917,357.819549426
1200,0.087398849869,0.0872496168643,0.775666666667,0.77539341917,360.790872669
1210,0.0892381954062,0.0892126705079,0.775666666667,0.77539341917,363.813069763
1220,0.0871879183563,0.0871671838292,0.775666666667,0.77539341917,366.817076065
1230,0.0871694706327,0.0868004608846,0.775333333333,0.77539341917,369.765074292
1240,0.087103684879,0.0868799919845,0.775666666667,0.77539341917,372.733872067
1250,0.0865089931671,0.085963047933,0.775666666667,0.77539341917,375.606205421
1260,0.0869314009649,0.0861648914279,0.775666666667,0.77539341917,378.585721017
1270,0.0873190162806,0.0864753847713,0.775333333333,0.77539341917,381.478727725
1280,0.0872268329122,0.0869179505019,0.775666666667,0.77539341917,384.571410174
1290,0.0868971478137,0.0861202487463,0.775333333333,0.77539341917,387.530997647
1300,0.0870067002186,0.0870013400328,0.775333333333,0.773962804006,390.548149123
1310,0.0871373051934,0.0868642309648,0.775333333333,0.77539341917,393.495872699
1320,0.0860397418679,0.0858004436084,0.775666666667,0.77539341917,396.462460015
1330,0.0864207160799,0.0861054958523,0.776,0.77539341917,399.379001367
1340,0.0864753104179,0.0862151165747,0.776,0.77539341917,402.281192897
1350,0.0873774694966,0.0876785132788,0.776,0.77539341917,405.236888305
1360,0.086780717513,0.0865280694618,0.776,0.77539341917,408.282091956
1370,0.0867329529695,0.0863367762449,0.775666666667,0.77539341917,411.220812757
1380,0.0867997262063,0.0863472628362,0.776,0.77539341917,414.255687363
1390,0.0865375071038,0.0861447784417,0.775666666667,0.77539341917,417.208731729
1400,0.0867319403908,0.0869178052019,0.776,0.77539341917,420.207471736
1410,0.0863842702304,0.0865772645104,0.775666666667,0.77539341917,423.270650524
